1,1,PB luôn chủ động, thiện chí phối hợp với Anh/Chị để giải quyết các vấn đề phát sinh trong quá trình cung cấp sản phẩm/dịch vụ.
2,1,NV của PB luôn tiếp nhận các yêu cầu của Anh/Chị với thái độ nhiệt tình, thân thiện.
3,1,NV của PB luôn cung cấp sản phẩm/dịch vụ với thái độ lịch sự, chuyên nghiệp.
4,1,NV của PB luôn sẵn sàng ghi nhận các phản hồi đề xuất của Anh/Chị.
5,2,PB luôn hỗ trợ xử lý và giải quyết công việc hiệu quả, đáp ứng yêu cầu của Anh/Chị.
6,2,PB luôn xử lý các yêu cầu công việc của Anh/Chị theo đúng quy trình, hướng dẫn hiện hành.
7,2,NV của PB luôn hướng dẫn/hỗ trợ Anh/Chị rõ ràng, dễ hiểu, hợp lý và dễ áp dụng.
8,2,PB luôn cung cấp thông tin rõ ràng, chất lượng và chính xác cho Anh/Chị.
9,3,Thời gian phản hồi cho những câu hỏi và yêu cầu hỗ trợ của PB luôn nhanh chóng và đúng hạn như đã thống nhất.
10,3,PB luôn thông báo/cập nhật thường xuyên và đúng hạn cho Anh/Chị về tình trạng của những sản phẩm/dịch vụ mà họ cung cấp.
